"","Sample_id","NO3_mean","NH4_mean","TIN_mean","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code_1","specimen_code","tissue_code","HISTO_0","HISTO_11","HISTO_12","HISTO_21","HISTO_22","HISTO_23","HISTO_24","HISTO_31","HISTO_41","HISTO_42","HISTO_43","HISTO_52","HISTO_71","HISTO_81","HISTO_82","HISTO_90","HISTO_95","species_index","species","decade","DevelopedOpenSpace","DevelopedLowIntensity","MediumDeveloped","HighDeveloped","PastureHay","CultivatedCrops","TotalAg","TotalPixels","TotalDeveloped","OtherLC","PercentUrban","PercentAg","spec_PercentUrban","spec_PercentAg","year_bin","endo_status_text"
"11","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",2,0,0,0,"11/8/2021","AvaJohnson",2,NA,NA,NA,NA,"Scorer2","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
"12","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",6,0,0,0,"7/15/21","ArinzeAppio-Riley",1,NA,NA,NA,NA,"Scorer1","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
"13","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",6,0,0,0,"7/15/21","ArinzeAppio-Riley",1,NA,NA,NA,NA,"Scorer1","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
"14","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",2,0,0,0,"11/8/2021","AvaJohnson",2,NA,NA,NA,NA,"Scorer2","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
"15","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",2,0,0,0,"11/8/2021","AvaJohnson",2,NA,NA,NA,NA,"Scorer2","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
"16","KANU_ELVI_109",9.76807975769043,17.6397876739502,27.4078674316406,"KANU00183711","ELVI","KANU00183711","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Beaver County, Oklahoma, United States","United States","Oklahoma","Beaver County","Beaver",NA,"Slapout, 3 mi W",36.61582,-100.16253,1971,9,15,"seed",2,2,1,1,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821","County",-100.5296115,36.7440186,"administrative_area_level_2","approximate","beaver county, ok, usa",37.0023119,36.4992869,-100.0025629,-100.954359,"KANU","ELVI",109,NA,0,75,0,9664,1476,446,125,156,252,0,0,67901,130076,6,6572,532,504,"3","E. virginicus",1970,9664,1476,446,125,6,6572,6578,217785,11711,91.602268292123,5.37732167045481,3.02041003742223,NA,NA,"post-1970","E+"
"17","KANU_ELVI_47",10.1673879623413,21.7281475067139,31.8955345153809,"KANU0015028","ELVI","KANU0015028","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Gove County, Kansas, United States","United States","Kansas","Gove County","Gove",NA,"Quinter, W edge",39.071906,-100.239064,1975,7,21,"seed",5,0,0,0,"8/25/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector821","County",-100.5296115,38.9271279,"administrative_area_level_2","approximate","gove county, ks, usa",39.133455,38.6973411,-100.14794,-100.8187949,"KANU","ELVI",47,NA,0,61,0,4479,624,76,7,53,162,0,16,6,116534,2573,86822,83,54,"3","E. virginicus",1970,4479,624,76,7,2573,86822,89395,211550,5186,55.2914204679745,2.45142992200425,42.2571496100213,NA,NA,"post-1970","E-"
"18","KANU_ELVI_129",10.7728261947632,20.8355712890625,31.6083984375,"KANU00183800","ELVI","KANU00183800","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Red Willow County, Nebraska, United States","United States","Nebraska","Red Willow County","Red Willow",NA,"McCook, 1 mi W",40.19667,-100.64385,1966,7,29,"seed",5,1,1,1,"11/7/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821","County",-100.5296115,40.2353963,"administrative_area_level_2","approximate","red willow county, ne, usa",40.35152,40.001604,-100.1931801,-100.7610191,"KANU","ELVI",129,NA,0,728,0,5320,2285,468,120,23,25,0,0,0,79375,1342,109738,6687,1533,"3","E. virginicus",1960,5320,2285,468,120,1342,109738,111080,207644,8193,42.5588988846295,3.94569551732773,53.4954055980428,NA,NA,"pre-1970","E+"
"19","KANU_AGHY_67",11.1597061157227,25.2448272705078,36.4045333862305,"KANU00169685","AGHY","KANU00169685","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Lincoln County, Nebraska, United States","United States","Nebraska","Lincoln County","Lincoln",NA,"Wellfleet, 16 mi NW",40.91549,-100.9443,1967,8,10,"seed",5,1,1,0,"10/18/22","PatriciaBilderback",1,NA,NA,NA,NA,"Scorer22","Collector821","County",-100.8000051,40.9338037,"administrative_area_level_2","approximate","lincoln county, ne, usa",41.3951008,40.697802,-100.223311,-101.2705129,"KANU","AGHY",67,NA,0,6,0,2697,322,42,7,101,55,0,60,0,147727,7033,47392,41,41,"1","A. hyemalis",1960,2697,322,42,7,7033,47392,54425,205524,3068,72.0261380666005,1.49276970086219,26.4810922325373,NA,NA,"pre-1970","E+"
"20","LL_AGHY_20",NA,NA,NA,"LL00142433","AGHY","00142433","Jesus Valdes","Valdes","Jesus","Jesus Valdes","J Valdes","Arteaga, Coahuila, Mexico","Mexico","Coahuila","Arteaga","Arteaga",NA,"18 Km al SE de la Plaza Principal San Antonio de las Alazanas (SE de Saltillo), Sa de la Martha",25.23333,-100.48333,1981,10,15,"seed",3,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector495",NA,-100.850791,25.4546718,"locality","approximate","arteaga, coahuila, mexico",25.4660965,25.4202815,-100.8063984,-100.9058296,"LL","AGHY",20,NA,244832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","A. hyemalis",1980,0,0,0,0,0,0,0,244832,0,100,0,0,NA,NA,"post-1970","E-"
"21","LL_AGHY_185",10.5476493835449,18.7179889678955,29.2656402587891,"WLTolstead4-377","AGHY","WLTolstead4-377","W. L. Tolstead","Tolstead","W.","W. Tolstead","W Tolstead","Rosebud, Todd County, South Dakota, USA","USA","South Dakota","Todd County","Todd","Rosebud","7 miles west of Rosebud. In ravine with Agropyron smithii and Elymus canadensis",NA,NA,1935,7,24,"stem",NA,NA,1,1,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector918","County",-100.8534779,43.2327824,"locality","approximate","rosebud, sd 57570, usa",43.275155,43.201162,-100.7678241,-100.8743911,"LL","AGHY",185,NA,0,288,0,1634,2813,491,48,20,9225,30,17801,489,162297,64,0,2022,1099,"1","A. hyemalis",1930,1634,2813,491,48,64,0,64,198321,4986,97.4536231664826,2.51410591919161,0.0322709143257648,NA,NA,"pre-1970","E+"
"22","KANU_ELVI_111",10.1302671432495,18.25514793396,28.3854160308838,"KANU00183700","ELVI","KANU00183700","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Roberts County, Texas, United States","United States","Texas","Roberts County","Roberts",NA,"In Miami",35.69139,-100.63778,1974,8,1,"seed",4,0,0,0,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821","County",-100.8903099,35.8540979,"administrative_area_level_2","approximate","roberts county, tx, usa",36.0579898,35.6190799,-100.539512,-101.086146,"KANU","ELVI",111,NA,0,10,0,749,613,64,0,3,7,0,0,191276,22348,508,4539,98,25,"3","E. virginicus",1970,749,613,64,0,508,4539,5047,220240,1426,97.0609335270614,0.647475481293135,2.29159099164548,NA,NA,"post-1970","E-"
"23","KANU_ELVI_43",9.36215305328369,17.9749393463135,27.3370914459229,"KANU0015029","ELVI","KANU0015029","Larry Hauser","Hauser","Larry","Larry Hauser","L Hauser","Seward County, Kansas, United States","United States","Kansas","Seward County","Seward",NA,"Liberal, city park off Hwy 270",37.052089,-100.92396,1975,7,10,"seed",5,2,1,1,"8/25/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector540","County",-100.8903099,37.221014,"administrative_area_level_2","approximate","seward county, ks, usa",37.387883,36.997922,-100.633,-101.0681119,"KANU","ELVI",43,NA,0,223,0,7037,651,100,8,25,441,0,0,84931,38450,1328,82710,143,401,"3","E. virginicus",1970,7037,651,100,8,1328,82710,84038,216448,7796,57.5722575399172,3.60178888231815,38.8259535777646,NA,NA,"post-1970","E+"
"24","KANU_ELVI_13",9.3122091293335,18.8593597412109,28.1715698242188,"KANU0015763","ELVI","KANU0015763","Wilson","Wilson","Wilson","Wilson Wilson","W Wilson","Finney County, Kansas, United States","United States","Kansas","Finney County","Finney",NA,"unknown",38.055118,-100.709526,1912,7,18,"seed",5,4,1,1,"09/28/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector924","County",-100.8903099,38.0625252,"administrative_area_level_2","approximate","finney county, ks, usa",38.265202,37.736275,-100.225031,-101.103778,"KANU","ELVI",13,NA,0,206,0,8676,3615,1436,347,159,448,0,4,19,15363,8565,174406,0,804,"3","E. virginicus",1910,8676,3615,1436,347,8565,174406,182971,214048,14074,7.94354537300045,6.57516071161609,85.4812939153835,NA,NA,"pre-1970","E+"
"25","KANU_ELVI_148",10.0654945373535,19.2559185028076,29.3214130401611,"KANU00183803","ELVI","KANU00183803","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Hitchcock County, Nebraska, United States","United States","Nebraska","Hitchcock County","Hitchcock",NA,"Trenton, 1 mi S",40.16884,-101.01294,1972,9,24,"seed",2,2,1,1,"1/3/24","Chris Oxley",1,NA,NA,NA,NA,"Scorer5","Collector821","County",-101.0711758,40.1844599,"administrative_area_level_2","approximate","hitchcock county, ne, usa",40.350985,40.0021439,-100.758435,-101.325391,"KANU","ELVI",148,NA,0,10616,0,5304,1709,551,92,294,158,17,37,4,104017,1052,73513,2281,8154,"3","E. virginicus",1970,5304,1709,551,92,1052,73513,74565,207799,7656,60.4324371147118,3.68432956847723,35.883233316811,NA,NA,"post-1970","E+"
"26","LL_ELVI_130",7.33791494369507,9.43799495697021,16.7759094238281,"00341827","ELVI","00341827","Barton H. Warnock","Warnock","Barton","Barton Warnock","B Warnock","Val Verde County, Texas, United States","United States","Texas","Val Verde County","Val Verde",NA,"3 mi. N. Comstock; highway 163.",NA,NA,1949,5,1,"seed",6,4,1,1,"7/15/21","ArinzeAppio-Riley",1,NA,NA,NA,NA,"Scorer1","Collector104","County",-101.1617356,29.8687682,"administrative_area_level_2","approximate","val verde county, tx, usa",30.288527,29.237579,-100.6991411,-101.7609241,"LL","ELVI",130,NA,0,267,0,675,542,106,0,0,25,28,0,231442,380,0,0,1352,518,"3","E. virginicus",1940,675,542,106,0,0,0,0,235335,1323,99.4378226783096,0.562177321690356,0,NA,NA,"pre-1970","E+"
"27","OKL_ELVI_99",9.13796997070312,19.9469413757324,29.0849113464355,"OKL49546;;Cutter208","ELVI","OKL49546","Wm. Cutter","Cutter","Wm.","Wm. Cutter","W Cutter","Gruver, Hansford County, Texas, USA","USA","Texas","Hansford County","Hansford","Gruver","growing along creek bank, very sandy soil",NA,NA,1955,8,14,"seed",5,5,1,1,"09/12/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector887","County",-101.4062723,36.2650314,"locality","approximate","gruver, tx 79040, usa",36.272024,36.2259011,-101.395065,-101.443292,"OKL","ELVI",99,NA,0,178,0,3856,2767,486,68,6,0,0,0,18364,41692,434,150771,28,461,"3","E. virginicus",1950,3856,2767,486,68,434,150771,151205,219111,7177,27.7160891055219,3.27550876039998,69.0084021340782,NA,NA,"pre-1970","E+"
"28","LL_AGHY_21_a",NA,NA,NA,"LL00142434","AGHY","00142434","Ernest Marsh","Marsh","Ernest","Ernest Marsh","E Marsh","Monclova, Coahuila, Mexico","Mexico","Coahuila","Monclova","Monclova",NA,"Gloria Mts",26.85417,-101.35167,1939,4,12,"seed",1,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector255",NA,-101.4215236,26.9080378,"locality","approximate","monclova, coahuila, mexico",26.9824766,26.830664,-101.3767664,-101.4773008,"LL","AGHY",21,"a",241866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","A. hyemalis",1930,0,0,0,0,0,0,0,241866,0,100,0,0,NA,NA,"pre-1970","E-"
"29","KANU_ELVI_107",9.01058578491211,20.1712207794189,29.1818065643311,"KANU00183781","ELVI","KANU00183781","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Hansford County, Texas, United States","United States","Texas","Hansford County","Hansford",NA,"Gruver, 1 mi SE",36.25474,-101.39311,1974,8,6,"seed",2,0,1,0,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821","County",-101.4339148,36.3183749,"administrative_area_level_2","approximate","hansford county, tx, usa",36.499583,36.05506,-101.084793,-101.623915,"KANU","ELVI",107,NA,0,188,0,3221,2424,519,59,4,0,0,0,7780,33029,634,170528,30,552,"3","E. virginicus",1970,3221,2424,519,59,634,170528,171162,218968,6223,18.9904460925797,2.8419677761134,78.1675861313068,NA,NA,"post-1970","E+"
"30","KANU_ELVI_113",8.6019344329834,19.6204242706299,28.2223587036133,"KANU00183732","ELVI","KANU00183732","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Texas County, Oklahoma, United States","United States","Oklahoma","Texas County","Texas",NA,"Hardesty, 9.5 mi E",36.61627,-101.01863,1971,9,15,"seed",5,3,1,1,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821","County",-101.4339148,36.8301318,"administrative_area_level_2","approximate","texas county, ok, usa",36.9984229,36.4991179,-100.945372,-102.032354,"KANU","ELVI",113,NA,0,167,0,8663,862,85,42,61,0,0,0,26441,49460,305,131343,1,111,"3","E. virginicus",1970,8663,862,85,42,305,131343,131648,217541,9652,35.0467268239091,4.43686477491599,60.5164084011749,NA,NA,"post-1970","E+"
