"","Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code_1","specimen_code","tissue_code","HISTO_11","HISTO_12","HISTO_21","HISTO_22","HISTO_23","HISTO_24","HISTO_31","HISTO_41","HISTO_42","HISTO_43","HISTO_52","HISTO_71","HISTO_81","HISTO_82","HISTO_90","HISTO_95","HISTO_NODATA","file_year"
"16","MO_ELVI_19","TheodoreMSperry;R-13","ELVI","heodoreMSperry;R-13","Theodore M. Sperry","Sperry","Theodore","Theodore Sperry","T Sperry","Pittsburg, Crawford County, Kansas, USA","USA","Kansas","Crawford County","Crawford","Pittsburg","1 mi. sw of Pittsburg, KS Robb PSU property; wet prairie",NA,NA,1985,7,17,"seed",5,5,1,1,"10/19/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector851","County",-94.70496,37.410884,"locality","approximate","pittsburg, ks 66762, usa",37.466343,37.338606,-94.668045,-94.7416719,"MO","ELVI",19,NA,2387,0,11881,20974,6720,2161,396,24317,0,211,0,7,79118,51831,15320,586,0,1985
"17","AM_AGHY_118","TAES183298","AGHY","TAES183298","Kevin B. Jensen","Jensen","Kevin","Kevin Jensen","K Jensen","Brazos County, Texas, United States","United States","Texas","Brazos County","Brazos",NA,NA,NA,NA,1986,3,4,"seed",4,0,0,0,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector508","County",-96.3226072,30.6504141,"administrative_area_level_2","approximate","brazos county, tx, usa",30.9737371,30.3302879,-96.0799691,-96.601854,"AM","AGHY",118,NA,489,0,27072,45155,26326,6368,36,4023,601,13801,1198,253,99254,51,8782,108,0,1986
"18","BRIT_AGHY_119","RobertBKaul5231","AGHY","RobertBKaul5231","Robert B. Kaul","Kaul","Robert","Robert Kaul","R Kaul","Lincoln, Lancaster County, Nebraska, USA","USA","Nebraska","Lancaster County","Lancaster","Lincoln","Nine-mile Prairie. Abundant along paths.",NA,NA,1986,6,14,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector715","County",-96.7025764,40.8136634,"locality","approximate","lincoln, ne, usa",40.9149838,40.6937415,-96.5674702,-96.8041497,"BRIT","AGHY",119,NA,3015,0,23963,57034,40867,13429,342,2146,218,12,0,12489,8483,38940,2649,2301,0,1986
"19","BRIT_AGHY_219","BRIT408704","AGHY","BRIT408704","W. R. Carr","Carr","W.","W. Carr","W Carr","Bastrop County, Texas, United States","United States","Texas","Bastrop County","Bastrop",NA,"On NE side of road to Sim Gideon Power Plant at Lake Bastrop, 0.5 mi. NW of St. Rt. 21. Lake Bastrop Quadrangle.",NA,NA,1986,4,22,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector885","County",-97.3516558,30.0458708,"administrative_area_level_2","approximate","bastrop county, tx, usa",30.4196421,29.786541,-97.024461,-97.64937,"BRIT","AGHY",219,NA,2224,0,10566,6208,1139,197,14,18143,16831,21399,25626,1598,110528,7589,12732,134,0,1986
"20","BRIT_AGHY_427","NLU0384133","AGHY","NLU0384133","D. W. Pritchett and C. E. DePoe","DePoe","D.","D. DePoe","D DePoe","Ouachita Parish, Louisiana, United States","United States","Louisiana","Ouachita Parish","Ouachita",NA,"Ouachita Wildlife Management Area in study plot 39 located near southern edge of Anderson tract near Old OWMA boundary. T16N, R4E.",NA,NA,1986,5,22,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector189","Parish",-92.2236667,32.4271852,"administrative_area_level_2","approximate","ouachita parish, la, usa",32.723003,32.25873,-91.90328,-92.415577,"BRIT","AGHY",427,NA,12111,0,19598,8329,642,66,4133,8420,62415,9715,9180,686,21016,1755,68475,2654,0,1986
"21","BRIT_AGHY_43","StevenRHill17069","AGHY","StevenRHill17069","Steven R. Hill","Hill","Steven","Steven Hill","S Hill","Groton, New London County, Connecticut, USA","USA","Connecticut","New London County","New London","Groton","Esker Point Beach Park and vicinity; coastal. Frequenct at margins of parking lot, wet disturbed sand, near Phragmites marsh.",NA,NA,1986,8,16,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector802","County",-72.078663,41.3481528,"locality","approximate","groton, ct, usa",41.400398,41.276598,-71.958632,-72.0972211,"BRIT","AGHY",43,NA,60599,0,25209,21957,16830,6537,1161,52438,176,1013,232,1166,1506,252,13188,1991,0,1986
"22","BRIT_AGPE_46","BRIT174460","AGPE","BRIT174460",NA,NA,NA,"NA NA",NA,"Lake County, Tennessee, USA","USA","Tennessee","Lake County","Lake",NA,NA,NA,NA,1986,NA,NA,"seed",5,5,1,1,"10/29/2020","LaniDufresne",1,NA,NA,NA,NA,"Scorer19",NA,"County",-89.4931176,36.3270676,"administrative_area_level_2","approximate","lake county, tn, usa",36.503232,36.185382,-89.3401581,-89.7055451,"BRIT","AGPE",46,NA,24811,0,5216,5047,824,164,39,95,0,3,0,1,40,159427,22874,408,0,1986
"23","BRIT_ELVI_106","PNighswonger2515July10,1986","ELVI","PNighswonger2515July10,1986","P. Nighswonger","Nighswonger","P.","P. Nighswonger","P Nighswonger","Alva, Woodward County, Oklahoma, USA","USA","Oklahoma","Woodward County","Woodward","Alva","Boiling Spring State Park. Creek valley with running stream. Over-story of tall trees.",NA,NA,1986,7,10,"seed",5,5,1,1,"10/20/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector674","County",-99.3673084,36.413792,"administrative_area_level_2","approximate","woodward county, ok, usa",36.819566,36.1615771,-98.955836,-99.6056921,"BRIT","ELVI",106,NA,448,0,5760,16059,5714,1231,130,870,3704,802,2397,145187,0,34667,1558,175,0,1986
"24","BRIT_ELVI_233","BRIT178470","ELVI","BRIT178470","Kevin H. Souza","Souza","Kevin","Kevin Souza","K Souza","Dickson County, Tennessee, United States","United States","Tennessee","Dickson County","Dickson",NA,"3.5 miles down County Line Road off Hwy 96.",NA,NA,1986,7,8,"seed",1,1,1,1,"10/20/2020","EllaSegal",1,116.126,5.33325,6.009,4,"Scorer10","Collector517","County",-87.3016132,36.1459799,"administrative_area_level_2","approximate","dickson county, tn, usa",36.3347131,35.959186,-87.139332,-87.566798,"BRIT","ELVI",233,NA,571,0,15345,3341,373,61,321,117165,2075,10544,5,195,68808,435,139,68,0,1986
"25","BRIT_ELVI_90","PNighswonger2515","ELVI","PNighswonger2515","P. Nighswonger","Nighswonger","P.","P. Nighswonger","P Nighswonger","Woodward, Woodward County, Oklahoma, USA","USA","Oklahoma","Woodward County","Woodward","Woodward","Boiling Springs State Park. Creek valley with running stream. Overstory of tall trees.",NA,NA,1986,7,10,"seed",5,0,0,0,"09/13/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector674","County",-99.3903862,36.4336481,"locality","approximate","woodward, ok 73801, usa",36.4480359,36.390988,-99.353775,-99.461566,"BRIT","ELVI",90,NA,458,0,5133,16008,6203,1371,141,451,2616,827,2179,155192,0,26114,1730,233,0,1986
"26","KANU_AGHY_82","KANU00169666","AGHY","KANU00169666","Linda G Chafin","Chafin","Linda","Linda Chafin","L Chafin","Union County, Georgia, United States","United States","Georgia","Union County","Union",NA,"Wolfpen Gap, W of, on GA Hwy 180",34.7811111,-83.9680556,1986,9,21,"seed",5,0,0,0,"11/2","PatriciaBilderback",1,NA,NA,NA,NA,"Scorer22","Collector529","County",-83.9744262,34.8457601,"administrative_area_level_2","approximate","union county, ga, usa",34.9875649,34.640553,-83.7803976,-84.1792828,"KANU","AGHY",82,NA,954,0,15074,3349,830,165,720,120852,11193,36446,235,1068,31328,568,112,35,0,1986
"27","KANU_AGHY_95","KANU0011061","AGHY","KANU0011061","Ronald L McGregor","McGregor","Ronald","Ronald McGregor","R McGregor","Montgomery County, Kansas, United States","United States","Kansas","Montgomery County","Montgomery",NA,"Independence, 3 mi S, 1 mi E",37.18073,-95.69011,1986,6,18,"seed",3,0,0,0,"11/3/2022","NicoleImming",1,NA,NA,NA,NA,"Scorer21","Collector726","County",-95.8142885,37.240253,"administrative_area_level_2","approximate","montgomery county, ks, usa",37.3866679,36.999074,-95.5179671,-95.964748,"KANU","AGHY",95,NA,17267,0,6006,4422,403,143,549,24455,3438,3816,0,21755,64820,64540,3608,1174,0,1986
"28","LSU_AGHY_47","LSU00004704","AGHY","LSU00004704","Lowell E. Urbatsch","Urbatsch","Lowell","Lowell Urbatsch","L Urbatsch","Tangipahoa Parish, Louisiana, United States","United States","Louisiana","Tangipahoa Parish","Tangipahoa",NA,"Along LA 10 near jct. of Wilcox Rd., 2.7 miles W of Stony Point.",NA,NA,1986,4,18,"seed",7,2,1,1,"3/4/2022","EmmaScales",1,NA,NA,NA,NA,"Scorer12","Collector569","Parish",-90.3748354,30.6194521,"administrative_area_level_2","approximate","tangipahoa parish, la, usa",31.0004391,30.2343371,-90.160636,-90.567344,"LSU","AGHY",47,NA,1248,0,9606,1997,138,5,373,53,66675,2047,4434,1130,87519,3797,54025,531,0,1986
"29","LSU_AGHY_54","LSU00004717","AGHY","LSU00004717","Lowell E. Urbatsch","Urbatsch","Lowell","Lowell Urbatsch","L Urbatsch","West Feliciana Parish, Louisiana, United States","United States","Louisiana","West Feliciana Parish","West Feliciana",NA,"River Bend Nuclear Power Plant between US Hwy. 61 and Mississippi River near Star Hill.",NA,NA,1986,4,29,"seed",6,5,1,1,"3/4/2022","EmmaScales",1,NA,NA,NA,NA,"Scorer12","Collector569","Parish",-91.4048249,30.8423123,"administrative_area_level_2","approximate","west feliciana parish, la, usa",31.044794,30.6539609,-91.176209,-91.750119,"LSU","AGHY",54,NA,1212,0,8060,2491,660,348,3440,54020,9911,54314,445,275,48660,2397,46359,458,0,1986
"30","LSU_AGPE_25","LSU00004740","AGPE","LSU00004740","Paul M. McKenzie","McKenzie","Paul","Paul McKenzie","P McKenzie","Butler property, West Feliciana Parish, Louisiana, United States","United States","Louisiana","West Feliciana Parish","West Feliciana","Butler property","Butler property; ca. 0.5 mile SE of jct. of La. Rts. 61 and 66 at Bains, La.",NA,NA,1986,10,7,"seed",5,1,1,1,NA,"Cyrus Washington",1,NA,NA,NA,NA,"Scorer7","Collector672","Parish",-91.4048249,30.8423123,"administrative_area_level_2","approximate","west feliciana parish, la, usa",31.044794,30.6539609,-91.176209,-91.750119,"LSU","AGPE",25,NA,1212,0,8060,2491,660,348,3440,54020,9911,54314,445,275,48660,2397,46359,458,0,1986
"31","LSU_AGPE_26","LSU00056361","AGPE","LSU00056361","Jose Negron","Negron","Jose","Jose Negron","J Negron","West Feliciana Parish, Louisiana, United States","United States","Louisiana","West Feliciana Parish","West Feliciana",NA,"Butler fresh marsh and surrounding fields, ca. 1 mile SE of Bains and intersection of LA 61 and 66.",NA,NA,1986,10,7,"seed",5,3,1,1,NA,"Cyrus Washington",1,NA,NA,NA,NA,"Scorer7","Collector452","Parish",-91.4048249,30.8423123,"administrative_area_level_2","approximate","west feliciana parish, la, usa",31.044794,30.6539609,-91.176209,-91.750119,"LSU","AGPE",26,NA,1212,0,8060,2491,660,348,3440,54020,9911,54314,445,275,48660,2397,46359,458,0,1986
"32","LSU_AGPE_27","LSU00004741","AGPE","LSU00004741","Alan W. Lievens","Lievens","Alan","Alan Lievens","A Lievens","M. Butler property, West Feliciana Parish, Louisiana, United States","United States","Louisiana","West Feliciana Parish","West Feliciana","M. Butler property","On M. Butler's property, located approx. 1 mile southeast of the junction of US 61 and La. 66, near Bains, La.",NA,NA,1986,10,7,"seed",4,2,1,1,NA,"Cyrus Washington",1,NA,NA,NA,NA,"Scorer7","Collector29","Parish",-91.4048249,30.8423123,"administrative_area_level_2","approximate","west feliciana parish, la, usa",31.044794,30.6539609,-91.176209,-91.750119,"LSU","AGPE",27,NA,1212,0,8060,2491,660,348,3440,54020,9911,54314,445,275,48660,2397,46359,458,0,1986
"33","LSU_AGPE_29","LSU00004743","AGPE","LSU00004743","Alan W. Lievens","Lievens","Alan","Alan Lievens","A Lievens","M. Butler property, West Feliciana Parish, Louisiana, United States","United States","Louisiana","West Feliciana Parish","West Feliciana","M. Butler property","On M. Butler's property, located approx. 1 mile southeast of the junction of US 61 and La 66; near Bains, La.",NA,NA,1986,10,7,"seed",5,2,1,1,NA,"Cyrus Washington",1,NA,NA,NA,NA,"Scorer7","Collector29","Parish",-91.4048249,30.8423123,"administrative_area_level_2","approximate","west feliciana parish, la, usa",31.044794,30.6539609,-91.176209,-91.750119,"LSU","AGPE",29,NA,1212,0,8060,2491,660,348,3440,54020,9911,54314,445,275,48660,2397,46359,458,0,1986
"34","LSU_ELVI_38","LSU00055399","ELVI","LSU00055399","Jose Negron","Negron","Jose","Jose Negron","J Negron","Saint Tammany Parish, Louisiana, United States","United States","Louisiana","Saint Tammany Parish","Saint Tammany",NA,"LA Rt. 434, St. Tammany Wildlife Refuge, ca. 4 mi S of Lacombe and near shore of Lake Ponchartrain.",NA,NA,1986,9,6,"seed",5,0,0,0,"11/3/21","AvaJohnson",1,NA,NA,NA,NA,"Scorer2","Collector452","Parish",-89.9253233,30.4357418,"administrative_area_level_2","approximate","st tammany parish, la, usa",30.7124441,30.1388141,-89.4949729,-90.25766,"LSU","ELVI",38,NA,539,0,8137,2196,38,1,16,0,141319,17,19934,6455,2180,918,52105,155,0,1986
"35","LSU_ELVI_58","LSU00074825","ELVI","LSU00074825","Alan Herndon","Herndon","Alan","Alan Herndon","A Herndon","Loudoun County, Virginia, United States","United States","Virginia","Loudoun County","Loudoun",NA,"Growing in shady disturbed area bordering a small stream, VA 625, 2 mi. W of Sterling.",NA,NA,1986,6,15,"seed",5,4,1,1,"11/18/21","AvaJohnson",1,NA,NA,NA,NA,"Scorer2","Collector23","County",-77.6536125,39.076767,"administrative_area_level_2","approximate","loudoun county, va, usa",39.324598,38.8462131,-77.3283182,-77.9622029,"LSU","ELVI",58,NA,473,0,12158,2970,428,66,2,68923,945,12310,37,98,97531,13694,1383,85,0,1986
"36","MERCA_AGHY_4_A","MERCA 200 SMYoung315","AGHY","MERCA 200 SMYoung315","S.M. Young","Young","S.M.","S.M. Young","S Young","Harris County, TX, USA","USA","TX","Harris County","Harris",NA,"Between Orchard and Cypress Creek in the pipeline right of way",NA,NA,1986,4,23,"seed",4,0,0,0,"03/01/2019","JoshuaFowler",1,NA,NA,NA,NA,"Scorer16","Collector833","County",-95.3102505,29.7751825,"administrative_area_level_2","approximate","harris county, tx, usa",30.1706059,29.497297,-94.9084921,-95.960733,"MERCA","AGHY",4,"A",1693,0,21334,68408,76508,53943,0,0,1364,2825,9,10,2609,1,1941,4907,0,1986
"37","MERCA_AGHY_6_A","MERCA 167","AGHY","MERCA 167","S.M. Young","Young","S.M.","S.M. Young","S Young","Harris County, TX, USA","USA","TX","Harris County","Harris",NA,"Kitzman Rd, Just N of Grant Rd in field",NA,NA,1986,3,21,"seed",1,0,0,0,"03/01/2019","JoshuaFowler",1,NA,NA,NA,NA,"Scorer16","Collector833","County",-95.3102505,29.7751825,"administrative_area_level_2","approximate","harris county, tx, usa",30.1706059,29.497297,-94.9084921,-95.960733,"MERCA","AGHY",6,"A",1693,0,21334,68408,76508,53943,0,0,1364,2825,9,10,2609,1,1941,4907,0,1986
"38","MERCA_ELVI_6_A","SBSC20575","ELVI","SBSC20575","S.M. Young","Young","S.M.","S.M. Young","S Young","Harris County, TX, USA","USA","TX","Harris County","Harris",NA,"In sand along Cypress Creek below Asalea berms",NA,NA,1986,5,30,"seed",2,0,0,0,"03/01/2019","JoshuaFowler",1,NA,NA,NA,NA,"Scorer16","Collector833","County",-95.3102505,29.7751825,"administrative_area_level_2","approximate","harris county, tx, usa",30.1706059,29.497297,-94.9084921,-95.960733,"MERCA","ELVI",6,"A",1693,0,21334,68408,76508,53943,0,0,1364,2825,9,10,2609,1,1941,4907,0,1986
"39","MO_AGHY_153","JRaveill2338",NA,"Raveill2338","Jay A. Raveill","Raveill","Jay","Jay Raveill","J Raveill","Marmec state park, Franklin County, Missouri, USA","USA","Missouri","Franklin County","Franklin","Marmec state park","Crack in pavement of abandoned road",NA,NA,1986,6,9,"seed",5,3,1,1,"5/23/2023","Chris Oxley",1,NA,NA,NA,NA,"Scorer5","Collector466","County",-91.0995335,38.2081038,"establishment","rooftop","meramec state park, 115 meramec park drive, sullivan, mo 63080, usa",38.2354466,38.1703875,-91.0670991,-91.1314586,"MO","AGHY",153,NA,1540,0,10484,5022,2139,323,228,159498,3461,3197,11,462,26136,532,475,120,0,1986
