"","lon","lat","Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code","NO3_mean","NH4_mean","TIN_mean"
"12",-100.5296115,40.2353963,"KANU_ELVI_129","KANU00183800","ELVI","KANU00183800","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Red Willow County, Nebraska, United States","United States","Nebraska","Red Willow County","Red Willow",NA,"McCook, 1 mi W",40.19667,-100.64385,1966,7,29,"seed",5,1,1,1,"11/7/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","red willow county, ne, usa",40.35152,40.001604,-100.1931801,-100.7610191,"KANU","ELVI",129,NA,10.7728261947632,20.8355712890625,31.6083984375
"13",-100.8000051,40.9338037,"KANU_AGHY_67","KANU00169685","AGHY","KANU00169685","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Lincoln County, Nebraska, United States","United States","Nebraska","Lincoln County","Lincoln",NA,"Wellfleet, 16 mi NW",40.91549,-100.9443,1967,8,10,"seed",5,1,1,0,"10/18/22","PatriciaBilderback",1,NA,NA,NA,NA,"Scorer22","Collector821"," County","administrative_area_level_2","approximate","lincoln county, ne, usa",41.3951008,40.697802,-100.223311,-101.2705129,"KANU","AGHY",67,NA,11.1597061157227,25.2448272705078,36.4045333862305
"14",-100.850791,25.4546718,"LL_AGHY_20","LL00142433","AGHY","00142433","Jesus Valdes","Valdes","Jesus","Jesus Valdes","J Valdes","Arteaga, Coahuila, Mexico","Mexico","Coahuila","Arteaga","Arteaga",NA,"18 Km al SE de la Plaza Principal San Antonio de las Alazanas (SE de Saltillo), Sa de la Martha",25.23333,-100.48333,1981,10,15,"seed",3,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector495",NA,"locality","approximate","arteaga, coahuila, mexico",25.4660965,25.4202815,-100.8063984,-100.9058296,"LL","AGHY",20,NA,NA,NA,NA
"15",-100.8534779,43.2327824,"LL_AGHY_185","WLTolstead4-377","AGHY","WLTolstead4-377","W. L. Tolstead","Tolstead","W.","W. Tolstead","W Tolstead","Rosebud, Todd County, South Dakota, USA","USA","South Dakota","Todd County","Todd","Rosebud","7 miles west of Rosebud. In ravine with Agropyron smithii and Elymus canadensis",NA,NA,1935,7,24,"stem",NA,NA,1,1,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector918"," County","locality","approximate","rosebud, sd 57570, usa",43.275155,43.201162,-100.7678241,-100.8743911,"LL","AGHY",185,NA,10.5476493835449,18.7179889678955,29.2656402587891
"16",-100.8903099,35.8540979,"KANU_ELVI_111","KANU00183700","ELVI","KANU00183700","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Roberts County, Texas, United States","United States","Texas","Roberts County","Roberts",NA,"In Miami",35.69139,-100.63778,1974,8,1,"seed",4,0,0,0,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","roberts county, tx, usa",36.0579898,35.6190799,-100.539512,-101.086146,"KANU","ELVI",111,NA,10.1302671432495,18.25514793396,28.3854160308838
"17",-100.8903099,37.221014,"KANU_ELVI_43","KANU0015029","ELVI","KANU0015029","Larry Hauser","Hauser","Larry","Larry Hauser","L Hauser","Seward County, Kansas, United States","United States","Kansas","Seward County","Seward",NA,"Liberal, city park off Hwy 270",37.052089,-100.92396,1975,7,10,"seed",5,2,1,1,"8/25/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector540"," County","administrative_area_level_2","approximate","seward county, ks, usa",37.387883,36.997922,-100.633,-101.0681119,"KANU","ELVI",43,NA,9.36215305328369,17.9749393463135,27.3370914459229
"18",-100.8903099,38.0625252,"KANU_ELVI_13","KANU0015763","ELVI","KANU0015763","Wilson","Wilson","Wilson","Wilson Wilson","W Wilson","Finney County, Kansas, United States","United States","Kansas","Finney County","Finney",NA,"unknown",38.055118,-100.709526,1912,7,18,"seed",5,4,1,1,"09/28/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector924"," County","administrative_area_level_2","approximate","finney county, ks, usa",38.265202,37.736275,-100.225031,-101.103778,"KANU","ELVI",13,NA,9.3122091293335,18.8593597412109,28.1715698242188
"19",-101.0711758,40.1844599,"KANU_ELVI_148","KANU00183803","ELVI","KANU00183803","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Hitchcock County, Nebraska, United States","United States","Nebraska","Hitchcock County","Hitchcock",NA,"Trenton, 1 mi S",40.16884,-101.01294,1972,9,24,"seed",2,2,1,1,"1/3/24","Chris Oxley",1,NA,NA,NA,NA,"Scorer5","Collector821"," County","administrative_area_level_2","approximate","hitchcock county, ne, usa",40.350985,40.0021439,-100.758435,-101.325391,"KANU","ELVI",148,NA,10.0654945373535,19.2559185028076,29.3214130401611
"20",-101.1617356,29.8687682,"LL_ELVI_130","00341827","ELVI","00341827","Barton H. Warnock","Warnock","Barton","Barton Warnock","B Warnock","Val Verde County, Texas, United States","United States","Texas","Val Verde County","Val Verde",NA,"3 mi. N. Comstock; highway 163.",NA,NA,1949,5,1,"seed",6,4,1,1,"7/15/21","ArinzeAppio-Riley",1,NA,NA,NA,NA,"Scorer1","Collector104"," County","administrative_area_level_2","approximate","val verde county, tx, usa",30.288527,29.237579,-100.6991411,-101.7609241,"LL","ELVI",130,NA,7.33791494369507,9.43799495697021,16.7759094238281
"21",-101.4062723,36.2650314,"OKL_ELVI_99","OKL49546;;Cutter208","ELVI","OKL49546","Wm. Cutter","Cutter","Wm.","Wm. Cutter","W Cutter","Gruver, Hansford County, Texas, USA","USA","Texas","Hansford County","Hansford","Gruver","growing along creek bank, very sandy soil",NA,NA,1955,8,14,"seed",5,5,1,1,"09/12/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector887"," County","locality","approximate","gruver, tx 79040, usa",36.272024,36.2259011,-101.395065,-101.443292,"OKL","ELVI",99,NA,9.13796997070312,19.9469413757324,29.0849113464355
"22",-101.4215236,26.9080378,"LL_AGHY_21_a","LL00142434","AGHY","00142434","Ernest Marsh","Marsh","Ernest","Ernest Marsh","E Marsh","Monclova, Coahuila, Mexico","Mexico","Coahuila","Monclova","Monclova",NA,"Gloria Mts",26.85417,-101.35167,1939,4,12,"seed",1,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector255",NA,"locality","approximate","monclova, coahuila, mexico",26.9824766,26.830664,-101.3767664,-101.4773008,"LL","AGHY",21,"a",NA,NA,NA
"23",-101.4339148,36.3183749,"KANU_ELVI_107","KANU00183781","ELVI","KANU00183781","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Hansford County, Texas, United States","United States","Texas","Hansford County","Hansford",NA,"Gruver, 1 mi SE",36.25474,-101.39311,1974,8,6,"seed",2,0,1,0,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","hansford county, tx, usa",36.499583,36.05506,-101.084793,-101.623915,"KANU","ELVI",107,NA,9.01058578491211,20.1712207794189,29.1818065643311
"24",-101.4339148,36.8301318,"KANU_ELVI_113","KANU00183732","ELVI","KANU00183732","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Texas County, Oklahoma, United States","United States","Oklahoma","Texas County","Texas",NA,"Hardesty, 9.5 mi E",36.61627,-101.01863,1971,9,15,"seed",5,3,1,1,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","texas county, ok, usa",36.9984229,36.4991179,-100.945372,-102.032354,"KANU","ELVI",113,NA,8.6019344329834,19.6204242706299,28.2223587036133
"25",-101.5248055,41.1815863,"MO_AGHY_190","DSutherland&SPChurchill1412","AGHY","Sutherland&SPChurchill1412","Joseph R. Churchill","Churchill","Joseph","Joseph Churchill","J Churchill","Keith County, Nebraska, USA","USA","Nebraska","Keith County","Keith",NA,"North side of Lake McConaughy, state area; in sandy grassland",NA,NA,1889,9,2,"seed",5,0,0,0,"5/25/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector405"," County","administrative_area_level_2","approximate","keith county, ne, usa",41.3955181,41.002673,-101.2499751,-102.055955,"MO","AGHY",190,NA,9.84905910491943,18.8423652648926,28.6914234161377
"26",-101.6157773,40.1306121,"KANU_ELVI_40","KANU00183769","ELVI","KANU00183769","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Dundy County, Nebraska, United States","United States","Nebraska","Dundy County","Dundy",NA,"Benkelman, 3.5 mi S",40.003396,-101.532694,1970,9,23,"seed",2,2,1,1,"8/24/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector821"," County","administrative_area_level_2","approximate","dundy county, ne, usa",40.3505529,40.002385,-101.323353,-102.0519721,"KANU","ELVI",40,NA,9.269211769104,16.6612510681152,25.9304618835449
"27",-101.7979613,37.1333387,"KANU_ELVI_70","KANU0015620","ELVI","KANU0015620","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Morton County, Kansas, United States","United States","Kansas","Morton County","Morton",NA,"Elkhart, 8 mi N, 1 mi E",37.11717,-101.88227,1971,9,12,"seed",4,2,1,1,"9/26/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","morton county, ks, usa",37.38932,36.9930159,-101.5552461,-102.0421799,"KANU","ELVI",70,NA,8.35183906555176,16.958517074585,25.3103561401367
"28",-101.7979613,38.4738028,"KANU_ELVI_157","KANU0015758","ELVI","KANU0015758","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Greeley County, Kansas, United States","United States","Kansas","Greeley County","Greeley",NA,"Tribune, 9 mi S",38.33926,-101.75267,1972,8,23,"seed",4,0,0,0,"1/3/24","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector821"," County","administrative_area_level_2","approximate","greeley county, tribune township, ks, usa",38.699679,38.2623221,-101.567059,-102.045384,"KANU","ELVI",157,NA,8.96591091156006,16.9856815338135,25.9515914916992
"29",-102.2547919,42.3613076,"MO_AGHY_191","JGSmith&RPound119","AGHY","GSmith&RPound119","J. G. Smith ","Smith","J.","J. Smith","J Smith","Sheridan County, Nebraska, USA","USA","Nebraska","Sheridan County","Sheridan",NA,NA,NA,NA,1892,7,12,"seed",1,1,1,0,"5/25/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector484"," County","administrative_area_level_2","approximate","sheridan county, ne, usa",42.9999851,42.004843,-102.006428,-102.7932,"MO","AGHY",191,NA,9.41447639465332,15.8887977600098,25.3032741546631
"30",-102.5298028,35.0017354,"KANU_ELVI_110","KANU00183749","ELVI","KANU00183749","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Deaf Smith County, Texas, United States","United States","Texas","Deaf Smith County","Deaf Smith",NA,"Hereford, 14 mi N, edge of Palo Duro Creek",35.037413,-102.402167,1974,7,28,"seed",6,5,1,1,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","deaf smith county, tx, usa",35.1872499,34.7460239,-102.167444,-103.043261,"KANU","ELVI",110,NA,8.96087646484375,14.1507606506348,23.1116371154785
"31",-102.6216211,35.4247226,"KANU_ELVI_106","KANU00183772","ELVI","KANU00183772","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Oldham County, Texas, United States","United States","Texas","Oldham County","Oldham",NA,"Vega, 23 mi NE",35.496518,-102.170512,1973,9,12,"seed",4,3,1,1,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","oldham county, tx, usa",35.627515,35.1830259,-102.162724,-103.042521,"KANU","ELVI",106,NA,8.06717395782471,12.9478378295898,21.0150108337402
"32",-102.989615,41.6552418,"KANU_ELVI_130","KANU00183801","ELVI","KANU00183801","Lawrence K Magrath","Magrath","Lawrence","Lawrence Magrath","L Magrath","Morrill County, Nebraska, United States","United States","Nebraska","Morrill County","Morrill",NA,"Bridgeport, ca 7 mi E, 0.3 mi S",NA,NA,1971,8,21,"seed",4,0,0,0,"11/7/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector554"," County","administrative_area_level_2","approximate","morrill county, ne, usa",42.005282,41.437766,-102.635803,-103.3711951,"KANU","ELVI",130,NA,8.38903331756592,13.3630456924438,21.7520790100098
"33",-103.3587288,29.6629938,"LL_AGHY_17","LL00312183","AGHY","00312183","Reginald Rose-Innes","Rose-Innes","Reginald","Reginald Rose-Innes","R Rose-Innes","Brewster County, Texas, United States","United States","Texas","Brewster County","Brewster",NA,"In bed of small stream. Hidden Valley, near Alpine.",NA,NA,1941,6,20,"seed",5,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector750"," County","administrative_area_level_2","approximate","brewster county, tx, usa",30.6659389,28.971547,-102.3208982,-103.80068,"LL","AGHY",17,NA,4.68057537078857,6.39982223510742,11.080397605896
"34",-103.3587288,29.6629938,"LL_AGHY_9","LL00322007","AGHY","00322007","Cornelius H. Mueller","Mueller","Cornelius","Cornelius Mueller","C Mueller","Brewster County, Texas, United States","United States","Texas","Brewster County","Brewster",NA,"Chisos Mts.",NA,NA,1931,8,17,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector151"," County","administrative_area_level_2","approximate","brewster county, tx, usa",30.6659389,28.971547,-102.3208982,-103.80068,"LL","AGHY",9,NA,4.68057537078857,6.39982223510742,11.080397605896
"35",-103.3587288,29.6629938,"LL_AGHY_12","LL00322007","AGHY","00322007","Cornelius H. Mueller","Mueller","Cornelius","Cornelius Mueller","C Mueller","Brewster County, Texas, United States","United States","Texas","Brewster County","Brewster",NA,"Chisos Mts.",NA,NA,1931,8,17,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector151"," County","administrative_area_level_2","approximate","brewster county, tx, usa",30.6659389,28.971547,-102.3208982,-103.80068,"LL","AGHY",12,NA,4.68057537078857,6.39982223510742,11.080397605896
"36",-103.5988057,43.7666507,"MO_AGHY_66","ODegener&LPeiler16272","AGHY","Degener&LPeiler16272","O. Degener ","Degener","O.","O. Degener","O Degener","Custer, Custer County, South Dakota, USA","USA","South Dakota","Custer County","Custer","Custer","Open, pine forest",NA,NA,1942,7,27,"seed",2,0,0,0,"4/25/2023","DavidWoods",1,NA,NA,NA,NA,"Scorer8","Collector640"," County","locality","approximate","custer, sd 57730, usa",43.780588,43.752832,-103.568617,-103.6299601,"MO","AGHY",66,NA,9.49656963348389,15.6511926651001,25.147762298584
"37",-103.5988057,43.7666507,"LL_AGHY_172","OttoDegenerLeroyPeiler16272","AGHY","OttoDegenerLeroyPeiler16272","Otto Degener, Leroy Peiler","Peiler","Otto","Otto Peiler","O Peiler","Custer, Custer County, South Dakota, USA","USA","South Dakota","Custer County","Custer","Custer","Open, pine forest",NA,NA,1942,7,27,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector644"," County","locality","approximate","custer, sd 57730, usa",43.780588,43.752832,-103.568617,-103.6299601,"LL","AGHY",172,NA,9.49656963348389,15.6511926651001,25.147762298584
"38",-103.9230997,23.6203311,"LL_AGHY_19","LL00142432","AGHY","00142432","S. Gonz lez","lez","S.","S. lez","S lez","Suchil, Durango, Mexico","Mexico","Durango","Suchil","Suchil",NA,"4 Km al SW de Piedra Herrada (La Michilia)",NA,NA,1981,5,3,"seed",5,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector809",NA,"locality","approximate","súchil, durango, mexico",23.637361,23.6113219,-103.9110351,-103.9381517,"LL","AGHY",19,NA,NA,NA,NA
"39",-104.1674118,30.6332044,"LL_AGHY_4","LL00322006","AGHY","00322006","Mary S. Young","Young","Mary","Mary Young","M Young","Mt. Livermore, Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis","Mt. Livermore","Gorge, Mt. Livermore.",NA,NA,1914,8,14,"seed",4,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector622"," County","establishment","approximate","mt livermore, texas 79734, usa",30.6345533802915,30.6318554197085,-104.166062819709,-104.168760780292,"LL","AGHY",4,NA,8.18327808380127,10.4417066574097,18.6249847412109
"40",-104.1930918,30.750805,"LL_AGHY_13","LL00458427","AGHY","00458427","Robert T. Harms","Harms","Robert","Robert Harms","R Harms","Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis",NA,"Cherry Canyon Ranch.",NA,NA,2007,4,30,"seed",6,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector710"," County","administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"LL","AGHY",13,NA,6.67792177200317,8.54924297332764,15.2271642684937
"41",-104.1930918,30.750805,"LL_AGHY_11_a","LL00320999","AGHY","00320999","Barton H. Warnock","Warnock","Barton","Barton Warnock","B Warnock","Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis",NA,"Fern Canyon.",NA,NA,1937,5,16,"seed",5,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector104"," County","administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"LL","AGHY",11,"a",6.67792177200317,8.54924297332764,15.2271642684937
"42",-104.1930918,30.750805,"LL_AGHY_7","LL00322003","AGHY","00322003","Barton H. Warnock","Warnock","Barton","Barton Warnock","B Warnock","Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis",NA,"In damp shaded areas near top of Mt. Livermore; Davis Mountains.",NA,NA,1947,9,11,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector104"," County","administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"LL","AGHY",7,NA,6.67792177200317,8.54924297332764,15.2271642684937
"43",-104.1930918,30.750805,"LL_AGHY_10","LL00321000","AGHY","00321000","Mary S. Young","Young","Mary","Mary Young","M Young","Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis",NA,"Canyon Star Mt., Davis Mts.",NA,NA,1914,4,12,"seed",5,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector622"," County","administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"LL","AGHY",10,NA,6.67792177200317,8.54924297332764,15.2271642684937
"44",-104.1930918,30.750805,"LL_AGHY_8","LL00322002","AGHY","00322002","Barton H. Warnock","Warnock","Barton","Barton Warnock","B Warnock","Timber Mountain, Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis","Timber Mountain","Along streamlet; north slopes of Timber Mountain; Davis Mountains.",NA,NA,1950,5,14,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector104"," County","administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"LL","AGHY",8,NA,6.67792177200317,8.54924297332764,15.2271642684937
"45",-104.1930918,30.750805,"LL_AGHY_12","LL00312182","AGHY","00312182","Barton H. Warnock","Warnock","Barton","Barton Warnock","B Warnock","Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis",NA,"At mouth of Madera Canyon in Davis Mts.",NA,NA,1955,5,1,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector104"," County","administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"LL","AGHY",12,NA,6.67792177200317,8.54924297332764,15.2271642684937
